theta_dist_h,theta_abs_log_h_ratio,n_gt_exposed_tracks,n_gt_hurt_offline_tracks,n_gt_hurt_runtime_tracks,l_gt_offline,l_gt_runtime,ucb_offline,ucb_runtime,offline_safe,runtime_safe,n_fp_exposed_pairs,n_fp_removed_offline_pairs,n_fp_removed_runtime_pairs,g_fp_offline,g_fp_runtime,active_offline_safe,dist_direction_flips,ratio_direction_flips,region_jaccard,unjoined_m,v5_coverage_pass
0.8,0.25,116,25,25,0.21551724137931033,0.21551724137931033,0.2878066577616307,0.2878066577616307,False,False,1373,1145,1143,0.8339402767662054,0.8324836125273124,False,62,319,0.9043097151205259,703,False
0.8,0.3,116,24,23,0.20689655172413793,0.19827586206896552,0.27844918314901657,0.26905091911852863,False,False,1373,1119,1114,0.8150036416605972,0.8113619810633649,False,62,272,0.9098422238918107,688,False
0.8,0.35,116,23,22,0.19827586206896552,0.1896551724137931,0.26905091911852863,0.2596099600731927,False,False,1373,1104,1091,0.8040786598689003,0.7946103423160962,False,62,279,0.9119448698315467,677,False
0.8,0.4,116,23,18,0.19827586206896552,0.15517241379310345,0.26905091911852863,0.22137271723487514,False,False,1373,1086,1066,0.7909686817188638,0.7764020393299345,False,62,235,0.9212598425196851,669,False
0.8,0.45,116,22,17,0.1896551724137931,0.14655172413793102,0.2596099600731927,0.21168075585907178,False,False,1373,1064,1039,0.7749453750910416,0.7567370721048798,False,62,234,0.9203539823008849,662,False
0.8,0.5,116,21,16,0.1810344827586207,0.13793103448275862,0.2501241841478092,0.20192861114602434,False,False,1373,1059,1017,0.7713037144938092,0.7407137654770576,False,62,186,0.925531914893617,656,False
0.8,0.55,116,21,16,0.1810344827586207,0.13793103448275862,0.2501241841478092,0.20192861114602434,False,False,1373,1053,1015,0.7669337217771304,0.7392571012381646,False,62,125,0.9292181069958848,649,False
0.8,0.6,116,21,16,0.1810344827586207,0.13793103448275862,0.2501241841478092,0.20192861114602434,False,False,1373,1049,1015,0.7640203932993445,0.7392571012381646,False,62,96,0.9314616019818331,649,False
0.9,0.05,116,75,76,0.646551724137931,0.6551724137931034,0.7203702402939518,0.7284114925989438,False,False,1373,1307,1318,0.9519300801165331,0.9599417334304443,False,49,310,0.9114935464044254,813,False
0.9,0.1,116,55,46,0.47413793103448276,0.39655172413793105,0.5545267755178713,0.4769340600322786,False,False,1373,1239,1256,0.9024034959941734,0.9147851420247632,False,49,384,0.8819714656290532,751,False
0.9,0.15,116,34,32,0.29310344827586204,0.27586206896551724,0.3704255779343979,0.35229274302120483,False,False,1373,1188,1212,0.8652585579024035,0.8827385287691187,False,49,323,0.8905712319339298,721,False
0.9,0.2,116,26,26,0.22413793103448276,0.22413793103448276,0.2971250606817547,0.2971250606817547,False,False,1373,1152,1161,0.8390386016023307,0.8455935906773488,False,49,302,0.9017341040462428,702,False
0.9,0.25,116,21,22,0.1810344827586207,0.1896551724137931,0.2501241841478092,0.2596099600731927,False,False,1373,1114,1117,0.8113619810633649,0.8135469774217043,False,49,319,0.8995502248875562,687,False
